Date,CL=F,CVX,USO,XLE,XOM
2020-01-02,61.18000030517578,95.0015640258789,102.4800033569336,47.82280731201172,54.63478469848633
2020-01-03,63.04999923706055,94.67295837402344,105.44000244140625,47.680721282958984,54.19554901123047
2020-01-06,63.27000045776367,94.35218048095703,105.27999877929688,48.051753997802734,54.611671447753906
2020-01-07,62.70000076293945,93.14735412597656,105.04000091552734,47.92543411254883,54.16472244262695
2020-01-08,59.61000061035156,92.08333587646484,101.27999877929688,47.136024475097656,53.347896575927734
2020-01-09,59.560001373291016,91.93470764160156,99.91999816894531,47.48336410522461,53.75632095336914
2020-01-10,59.040000915527344,91.09758758544922,99.27999877929688,47.214969635009766,53.27854537963867
2020-01-13,58.08000183105469,91.26972198486328,97.5999984741211,47.23074722290039,53.78713607788086
2020-01-14,58.22999954223633,90.98806762695312,98.23999786376953,47.238651275634766,53.32478332519531
2020-01-15,57.810001373291016,90.85505676269531,97.44000244140625,46.89130401611328,53.24000930786133
2020-01-16,58.52000045776367,91.44963836669922,98.31999969482422,46.97024917602539,53.03196334838867
2020-01-17,58.540000915527344,90.42476654052734,98.63999938964844,46.67026138305664,52.83160400390625
2020-01-21,58.34000015258789,88.6488037109375,97.91999816894531,45.83348083496094,52.0764274597168
2020-01-22,56.7400016784668,88.32804107666016,95.19999694824219,45.39141845703125,51.7758903503418
2020-01-23,55.59000015258789,88.48452758789062,93.27999877929688,45.21773910522461,51.452239990234375
2020-01-24,54.189998626708984,87.50657653808594,91.44000244140625,44.69672393798828,51.1054801940918
2020-01-27,53.13999938964844,86.36434173583984,88.80000305175781,43.45734786987305,49.8879508972168
2020-01-28,53.47999954223633,86.93546295166016,90.0,43.65469741821289,49.818599700927734
2020-01-29,53.33000183105469,86.34868621826172,89.27999877929688,43.196842193603516,49.402488708496094
2020-01-30,52.13999938964844,87.15451049804688,88.63999938964844,43.54418182373047,49.926475524902344
2020-01-31,51.560001373291016,83.82166290283203,86.72000122070312,42.186378479003906,47.86901092529297
2020-02-03,50.11000061035156,83.14884185791016,83.91999816894531,41.63379669189453,46.79788589477539
2020-02-04,49.61000061035156,83.59478759765625,83.5199966430664,41.78377914428711,46.21224594116211
2020-02-05,50.75,86.27825927734375,85.5999984741211,43.3547248840332,48.33906555175781
2020-02-06,50.95000076293945,85.66022491455078,85.91999816894531,42.912635803222656,47.6840705871582
2020-02-07,50.31999969482422,85.22991180419922,84.63999938964844,42.61266326904297,47.368133544921875
2020-02-10,49.56999969482422,85.8949203491211,83.36000061035156,42.39952850341797,46.86786651611328
2020-02-11,49.939998626708984,87.0058822631836,84.0,42.87317657470703,47.313411712646484
2020-02-12,51.16999816894531,87.65521240234375,86.4800033569336,43.4494514465332,47.8918342590332
2020-02-13,51.41999816894531,87.35792541503906,86.72000122070312,43.31524658203125,47.626068115234375
2020-02-14,52.04999923706055,87.12838745117188,87.5999984741211,43.08632278442383,47.40720748901367
2020-02-18,52.04999923706055,87.25503540039062,87.5999984741211,42.7310791015625,46.80533981323242
